latitude,longitude,depth,temperature,oxygen,chlorophyll,salinity
-0.1428838193543337,-0.3620832596445069,-1.2552883358320917,1.8461500856720403,1.1930540219688783,-0.4268658272602218,34.337
-0.1428838193543337,-0.3620832596445069,-1.2540343969338157,1.829088646829565,1.1930540219688783,-0.4268658272602218,34.409
-0.1428838193543337,-0.3620832596445069,-1.2527804580355397,1.8249326553166545,1.1921344077379665,-0.4067986961656773,34.431
-0.1428838193543337,-0.3620832596445069,-1.2512130344126946,1.824057709734989,1.191214793507055,-0.3867315650711327,34.431
-0.1428838193543337,-0.3620832596445069,-1.2498023531521343,1.82340150054874,1.1902951792761431,-0.36666443397658816,34.432
-0.1428838193543337,-0.3620832596445069,-1.2482349295292892,1.8218703457808256,1.1893755650452313,-0.3465973028820436,34.441
-0.1428838193543337,-0.3620832596445069,-1.2465107635441597,1.8217609775831174,1.1894077963089573,-0.29843618825513674,34.441
-0.1428838193543337,-0.3620832596445069,-1.2449433399213148,1.8211047683968684,1.1894400275726833,-0.25027507362822976,34.441
-0.1428838193543337,-0.3620832596445069,-1.243219173936185,1.8208860320014522,1.1894722588364093,-0.20211395900132278,34.441
-0.1428838193543337,-0.3620832596445069,-1.2419652350379091,1.8207766638037437,1.1895044901001355,-0.1539528443744158,34.441
-0.1428838193543337,-0.3620832596445069,-1.2402410690527796,1.820667295606036,1.1890804102320371,-0.14325037445732533,34.441
-0.1428838193543337,-0.3620832596445069,-1.231306754402563,1.821432872989993,1.1886563303639388,-0.13254790454023496,34.455
-0.1428838193543337,-0.3620832596445069,-1.2164162299855357,1.785341367746296,1.1882322504958407,-0.12184543462314447,34.917
-0.1428838193543337,-0.3620832596445069,-1.2002717666702323,1.740719143081361,1.191116660820175,-0.04960376268278408,35.171
-0.1428838193543337,-0.3620832596445069,-1.1844407880794976,1.7268293819724232,1.1940010711445095,0.022637909257576302,35.392
-0.1428838193543337,-0.3620832596445069,-1.1686098094887631,1.7201579219122247,1.1968854814688439,0.09487958119793681,35.46
-0.1428838193543337,-0.3620832596445069,-1.1527788308980287,1.666130032244387,1.1997698917931785,0.1671212531382972,35.409
-0.1428838193543337,-0.3620832596445069,-1.1372613370318632,1.55818362110642,1.2096893616424749,0.5096002904851911,35.36
-0.1428838193543337,-0.3620832596445069,-1.1229977820639736,1.510827191498781,1.2196088314917715,0.8520793278320848,35.708
-0.1428838193543337,-0.3620832596445069,-1.1062263492995321,1.218595367222542,1.2295283013410678,1.1945583651789786,35.315
-0.1428838193543337,-0.3620832596445069,-1.090238628346513,1.113055056434155,1.21205313686786,2.1176463955280287,35.361
-0.1428838193543337,-0.3620832596445069,-1.0744076497557786,1.0265448120469898,1.1945779723946521,3.040734425877079,35.41
-0.1428838193543337,-0.3620832596445069,-0.9802054900227942,0.5537460933545574,1.055411945049177,3.6507752111512337,35.398
-0.1428838193543337,-0.3620832596445069,-0.9653149656057667,0.42972255715348895,1.0371767238906848,3.153110360006528,35.315
-0.1428838193543337,-0.3620832596445069,-0.9496407293773167,0.34550904491819545,1.0189415027321926,2.655445508861823,35.264
-0.1428838193543337,-0.3620832596445069,-0.9220540736152446,0.25057744930750103,1.000706281573701,2.157780657717118,35.17
-0.1428838193543337,-0.3620832596445069,-0.8825549983195505,0.17347286992323893,0.9754966583379536,1.7564380358262268,35.159
-0.1428838193543337,-0.3620832596445069,-0.8443098619221326,0.12119487141873217,0.9502870351022062,1.3550954139353353,35.165
-0.1428838193543337,-0.3620832596445069,-0.804340559539585,0.08444715698878594,0.9250774118664589,0.9537527920444439,35.182
-0.1428838193543337,-0.3620832596445069,-0.7646847418816066,0.04409029203447005,0.9179457651351857,0.7530814810989983,35.195
-0.1428838193543337,-0.3620832596445069,-0.724715439499059,0.008108154988481185,0.9108141184039125,0.5524101701535528,35.21
-0.1428838193543337,-0.3620832596445069,-0.6877242419999171,-0.024155463335429905,0.9036824716726397,0.35173885920810727,35.206
-0.1428838193543337,-0.3620832596445069,-0.6485386514287921,-0.037826488048951556,0.8965508249413665,0.15106754826266158,35.243
-0.1428838193543337,-0.3620832596445069,-0.6085693490462446,-0.06593411485995224,0.8982346953013152,0.0761502588430285,35.245
-0.1428838193543337,-0.3620832596445069,-0.5689135313882661,-0.0979789967884469,0.8999185656612637,0.001232969423395565,35.236
-0.1428838193543337,-0.3620832596445069,-0.5301981679039947,-0.12269620947049414,0.9016024360212124,-0.07368431999623751,35.242
-0.1428838193543337,-0.3620832596445069,-0.49116931969515404,-0.13417987022985217,0.904198203867715,-0.013482926712603892,35.257
-0.1428838193543337,-0.3620832596445069,-0.4518269867617446,-0.1423824850579653,0.9067939717142179,0.04671846657102985,35.263
-0.1428838193543337,-0.3620832596445069,-0.4123279114660505,-0.155506668782946,0.909389739560721,0.10691985985466358,35.269
-0.1428838193543337,-0.3620832596445069,-0.3732990632572101,-0.16808401151938593,0.9119855074072236,0.1671212531382972,35.277
-0.1428838193543337,-0.3620832596445069,-0.33332976087466254,-0.1899576510610205,0.8958806192988104,0.04404284909175716,35.278
-0.1428838193543337,-0.3620832596445069,-0.2952413668395291,-0.206034776124122,0.8797757311903975,-0.07903555495478275,35.283
-0.1428838193543337,-0.3620832596445069,-0.2555855491815505,-0.23129882979470998,0.8636708430819843,-0.20211395900132278,35.258
-0.1428838193543337,-0.3620832596445069,-0.21639995861042552,-0.2556879378836327,0.6300774131911507,-0.30244961447404556,35.239
-0.1428838193543337,-0.3620832596445069,-0.17721436803930052,-0.2706713809696525,0.3964839833003176,-0.4027852699467684,35.249
-0.1428838193543337,-0.3620832596445069,-0.13834226219274456,-0.27121822195819323,0.16289055340948408,-0.5031209254194913,35.286
-0.1428838193543337,-0.3620832596445069,-0.09915667162161956,-0.29352933429066064,-0.07070287648134929,-0.603456580892214,35.272
-0.1428838193543337,-0.3620832596445069,-0.05981433868821003,-0.3061066770271006,-0.14849156487622703,-0.6141590508093044,35.278
-0.1428838193543337,-0.3620832596445069,-0.020628748117085025,-0.31573107842541975,-0.2262802532711046,-0.6248615207263949,35.289
-0.1428838193543337,-0.3620832596445069,0.01808661536718655,-0.3376047179670545,-0.30406894166598236,-0.6355639906434852,35.277
-0.1428838193543337,-0.3620832596445069,0.05742894830059591,-0.35444742041411315,-0.35609512554055606,-0.6395774168623942,35.275
-0.1428838193543337,-0.3620832596445069,0.09802522013228156,-0.3762116917580396,-0.4081213094151296,-0.6435908430813032,35.277
-0.1428838193543337,-0.3620832596445069,0.136113614167415,-0.3952417581592617,-0.4601474932897031,-0.647604269300212,35.271
-0.1428838193543337,-0.3620832596445069,0.17529920473854,-0.41995897084130895,-0.5121736771642769,-0.651617695519121,35.26
-0.1428838193543337,-0.3620832596445069,0.21417131058509592,-0.4468635474775194,-0.583972116981367,-0.6462664605605757,35.24
-0.1428838193543337,-0.3620832596445069,0.253043416431652,-0.47376812411373004,-0.6557705567984571,-0.6409152256020305,35.216
